Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI_14,MACD_Line,MACD_Signal,MACD_Histogram
2015-12-16,25.189552307128906,25.336608602928948,24.6149044191711,25.128468287127408,224954000,26.191595458984374,27.171695127487183,31.549825364650985,-0.25236744318957705,-0.06303101934774447,-0.18933642384183258
2015-12-17,24.65562629699707,25.395430047597255,24.65562629699707,25.343394108517348,179091200,26.185587310791014,27.153818988800047,28.218972971511647,-0.33336820118972454,-0.11709845571614048,-0.21626974547358407
2015-12-18,23.98822021484375,24.777797110715454,23.93844715259232,24.639792337300673,385813200,26.171998062133788,27.132393674850462,23.009090153792286,-0.4462716369321029,-0.182933091959333,-0.26333854497276993
2015-12-21,24.28233528137207,24.291385086886148,23.884152469122142,24.271022592960993,190362400,26.152486686706542,27.111835956573486,28.305096452206215,-0.5061808574980091,-0.24758264506706823,-0.2585982124309409
2015-12-22,24.259708404541016,24.370565486717243,24.08323980959433,24.298168778305914,131157600,26.134865608215332,27.09410183906555,29.534063026083246,-0.5491548312213723,-0.30789708229792906,-0.24125774892344326
2015-12-23,24.571924209594727,24.626221321148627,24.25292501130819,24.268761740764496,130629600,26.12263271331787,27.08046359062195,35.29672671211928,-0.5516596201317299,-0.3566495898646892,-0.19501003026704067
2015-12-24,24.440702438354492,24.660155474251308,24.42260282741841,24.660155474251308,54281600,26.114894294738768,27.06370141029358,21.29446494659784,-0.5578031758711823,-0.39688030706598787,-0.16092286880519446
2015-12-28,24.166942596435547,24.363771902702695,24.022149219206796,24.34114653507622,106816800,26.094246444702147,27.04653079986572,20.79511557497011,-0.5780981636164668,-0.4331238783760837,-0.14497428524038314
2015-12-29,24.601327896118164,24.757433989953327,24.17599747691878,24.19862112322459,123724800,26.085980796813963,27.030013465881346,27.920079716285358,-0.5527589630021517,-0.45705089530129733,-0.09570806770085433
2015-12-30,24.280071258544922,24.592281766790016,24.24839780376964,24.56513407759625,100855200,26.068181266784666,27.009556064605714,29.556761129769697,-0.5522343756263801,-0.4760875913663139,-0.07614678426006621
2015-12-31,23.81401252746582,24.21445639385491,23.714466418410996,24.209932355294903,163649200,26.031869354248048,26.985171566009523,24.988664480609003,-0.5827085791573552,-0.4974117889245222,-0.08529679023283299
2016-01-04,23.834375381469727,23.83890114650032,23.076471989765675,23.214478479947225,270597600,25.996009597778322,26.961972045898438,29.296796283581955,-0.5983194388219744,-0.5175933189040126,-0.08072611991796175
2016-01-05,23.237104415893555,23.947497701196713,23.169233468411488,23.924874052036024,223164000,25.940364913940428,26.93757279396057,26.57087184554976,-0.6513772612966591,-0.544350107382542,-0.1070271539141171
2016-01-06,22.78235626220703,23.16017819081429,22.59457846507853,22.7506828156517,273829600,25.85949562072754,26.90943702697754,26.545379776595354,-0.7217998836287762,-0.5798400626317889,-0.14195982099698734
2016-01-07,21.820844650268555,22.653407817847228,21.816320610292557,22.325360548255965,324377600,25.776517028808595,26.877074327468872,19.32443956586002,-0.845450444144717,-0.6329621389343746,-0.21248830521034245
2016-01-08,21.936220169067383,22.422636292013316,21.890972880172917,22.29594250225007,283192000,25.699134979248047,26.84898458480835,23.193640260002994,-0.9234891559365614,-0.691067542334812,-0.2324216136017494
2016-01-11,22.29142189025879,22.41132878701104,22.0221957987083,22.39096802012428,198957600,25.607590866088866,26.821710596084596,32.176903267220126,-0.9457713238159151,-0.7420082986310328,-0.20376302518488232
2016-01-12,22.614940643310547,22.780096533043196,22.36155132892197,22.74842308450381,196616800,25.51684024810791,26.797159633636475,32.59328139031534,-0.9266430781922921,-0.7789352545432846,-0.14770782364900747
2016-01-13,22.03350830078125,22.893220789831734,22.013147534066185,22.696391414550362,249758400,25.419101524353028,26.766217555999756,29.187856179967625,-0.94747859309701,-0.8126439222540298,-0.13483467084298018
2016-01-14,22.51539421081543,22.732586034939704,21.66020766034241,22.162460517242046,252680400,25.323431396484374,26.739851217269898,31.365225771305802,-0.9145641963603985,-0.8330279770753036,-0.08153621928509491
2016-01-15,21.97467803955078,22.105897578932865,21.574234227522346,21.764274890566828,319335600,25.210684394836427,26.71098229408264,29.19839019676553,-0.9214882331336227,-0.8507200282869675,-0.07076820484665525
